Alpha_Node,Total_Support
GLIS3,-47
PHF17,-45
DYDC1,-45
MAP2K5,-27
CITED4,-75
RPS6KC1,-39
TNKS2,-41
HIST1H1A,-47
TRAF1,21
CACNA1C,-13
KCNMB1,-147
MAPK3,781
LOC116349,17
FALZ,-151
ID3,-165
PCDH1,-87
OTUD5,-155
NPPA,-179
FY,-117
TPI1,-113
P2RX4,-151
STXBP6,-179
PNMA1,-163
FKBP2,-183
UBE2L6,-203
SMARCB1,849
SUPT4H1,-151
MYO9B,-117
HBG2,-179
PIGA,-183
PVRL1,-135
ZNF165,-79
C1orf190,-351
DRD3,139
KNTC2,-123
MAP3K1,-153
TREX1,-157
CADPS,-137
KLF11,-201
ZFYVE9,-89
FZD3,-151
PTPRE,189
CCL25,-147
GPR7,-147
HOXC8,-207
TCF8,33
TBK1,-79
ELF3,-167
CASP7,-167
URP2,-187
SORT1,-143
ELOF1,-119
SLK,-157
PLAUR,-113
FRS3,267
SPATA2,1
DKFZp761I2123,-265
POLR2A,123
C21orf6,-181
ZMYND19,-165
SYN2,-145
CD6,-149
MC2R,-153
SNFT,-131
KLK2,-147
GATAD2B,-117
KIAA0157,-177
XPO6,-169
Rgr,-147
HHEX,-157
RHOQ,-105
SUMO1,765
IL2RA,-95
C7orf20,79
NUCB1,-213
PLEKHM1,393
NOSTRIN,-149
H2AFZ,-149
EVI1,-219
TRIM28,-275
BTG2,-199
TSPAN3,-217
TXNL5,-159
TOP1,839
PACSIN1,-185
ZFP64,-39
SP2,-151
PEO1,-99
FMO4,-251
HNRPA0,-153
PDK2,-267
ANG,-151
PAFAH1B3,351
CTF1,-161
CAPN3,-149
ZFYVE16,-173
ST6GALNAC2,-67
BCL2L10,-223
HSPC117,-147
NARS,223
INHBC,-181
FLJ11193,-153
NPHP3,-149
GLP2R,-153
GPR43,-179
GCC1,-35
HOXD11,-151
BID,-201
RPS6KB1,-193
RING1,-167
PARP4,-145
RAB11FIP2,-131
VCP,-219
EIF2B5,-171
TAF2,-255
CXorf53,-153
TIMELESS,-169
CCBP2,-117
PCTK1,-147
RAB5C,-151
ATP6V0C,-145
VTCN1,-149
PMPCA,-151
ID2,-29
ABI3BP,-155
ITGAV,-137
ACSS2,-185
PRKX,-101
LUM,-143
CDC40,-127
GAL,-151
EFNB1,-65
MCF2L,-183
ALS2CR2,-169
GCA,-151
SAP18,-193
VAV1,101
ISL2,-177
PPP2R5C,-179
TMCC2,-147
CCL13,-175
SUMO4,-183
CDH12,-151
CCL7,-155
KIRREL3,-145
SPHK1,3
ARL6IP5,-223
IRAK2,-129
LOXL1,-151
EFNB2,-109
CREB3L1,-157
RBMX,-401
DMD,-113
PLK4,-151
PIM1,-155
EPN2,-123
ARPC1B,-123
EXOSC8,-157
MLL4,-75
HIF1A,873
UBOX5,-153
PTPRU,-203
ZNF414,-153
PRKAR1B,-145
ORMDL3,-101
KCNAB1,-179
GPR135,-145
CD82,-141
BMX,-71
CSNK2A1,49
KIF3B,-177
USP9Y,-145
UNC5CL,-151
INADL,-183
PI3,-151
HNRPH1,21
CDKN2B,-177
IL11,-237
CDK7,-155
ZDHHC3,-221
SCYE1,-127
KRTAP3-2,-139
C20orf39,-145
SLIT2,-147
RAN,-189
DLAT,-227
ING1,869
AE2,-217
PSPC1,-41
CDK5RAP3,-143
FGF5,-79
GTF2H5,-223
HIST2H2AA,-147
GRM7,-87
CD84,-139
OFD1,-55
DKFZP566M1046,-149
VPS72,95
LGP2,-147
WDR61,-161
PSMD4,-211
APTX,-175
SCARF1,-165
GPR1,-149
C3orf15,-147
LTB,-129
NPM1,-181
COL4A3BP,-145
LASS2,-149
TRIM39,-179
TDG,329
HEY1,3
TULP2,-223
FLOT1,-141
LOC51252,-183
GBA,-151
PAK3,259
TCF7L2,-203
PTCH,-207
DHRS1,-209
HDAC10,-149
INPP4A,-201
TNK2,-23
LCP2,-165
FXR1,205
SLC9A3R2,-107
AHCYL1,-151
ITGB1,187
CNTNAP2,-147
MTPN,-197
ADCYAP1R1,-151
DNALI1,-139
KPNA6,-177
TBCD,-57
HSPCA,603
SFPQ,209
